epoch,learning_rate,loss,masked_mae,masked_rmse,val_loss,val_masked_mae,val_masked_rmse
0,0.0003000000142492354,0.4607052803039551,0.5241879820823669,0.6615378856658936,0.13599051535129547,0.28749051690101624,0.35433366894721985
1,0.0003000000142492354,0.15894296765327454,0.30848610401153564,0.3912051320075989,0.05828555300831795,0.17956937849521637,0.2354821264743805
2,0.0003000000142492354,0.11392314732074738,0.25942960381507874,0.3332594335079193,0.05678601190447807,0.17755627632141113,0.2319043129682541
3,0.0003000000142492354,0.09944232553243637,0.2421310395002365,0.31229448318481445,0.054721899330616,0.1755826771259308,0.22933410108089447
4,0.0003000000142492354,0.09117569774389267,0.23117583990097046,0.2991926670074463,0.05528777092695236,0.17531344294548035,0.22972865402698517
5,0.0003000000142492354,0.08714509755373001,0.22549152374267578,0.2925114333629608,0.0630282610654831,0.18881279230117798,0.24154208600521088
6,0.0003000000142492354,0.08354369550943375,0.2201988846063614,0.2864827811717987,0.05184561386704445,0.16778159141540527,0.22237201035022736
7,0.0003000000142492354,0.08074945956468582,0.2163933664560318,0.2817581295967102,0.05387067422270775,0.17362737655639648,0.22646822035312653
8,0.0003000000142492354,0.07890345901250839,0.21340681612491608,0.27833306789398193,0.0722261518239975,0.20319001376628876,0.2555752992630005
9,0.0003000000142492354,0.07645612955093384,0.20948615670204163,0.274129718542099,0.050554241985082626,0.16615982353687286,0.2201184779405594
10,0.0003000000142492354,0.07558315992355347,0.20848633348941803,0.2726614773273468,0.053115203976631165,0.17136195302009583,0.225099116563797
11,0.0003000000142492354,0.07374309748411179,0.20534102618694305,0.2691933214664459,0.051777154207229614,0.16864025592803955,0.22238411009311676
12,0.0003000000142492354,0.07340239733457565,0.20480674505233765,0.26858067512512207,0.05323448404669762,0.1720256507396698,0.2255178987979889
13,0.0003000000142492354,0.07178373634815216,0.20241157710552216,0.2656388580799103,0.05157792195677757,0.1674814224243164,0.22140996158123016
14,0.0003000000142492354,0.0704934224486351,0.2004508227109909,0.2635108232498169,0.05444938316941261,0.17252105474472046,0.2260982096195221
15,0.0001500000071246177,0.06871639937162399,0.19735483825206757,0.2601048946380615,0.05305315554141998,0.17015831172466278,0.2234257161617279
16,0.0001500000071246177,0.06809134036302567,0.19623564183712006,0.25881919264793396,0.05077936500310898,0.1659575253725052,0.21916396915912628
17,0.0001500000071246177,0.06764054298400879,0.1956312507390976,0.2581239938735962,0.053047217428684235,0.1701858639717102,0.22343550622463226
18,0.0001500000071246177,0.067784883081913,0.19566451013088226,0.2580842971801758,0.05158774182200432,0.16748347878456116,0.2208530157804489
19,0.0001500000071246177,0.06710461527109146,0.19467824697494507,0.25716206431388855,0.05065946280956268,0.16579996049404144,0.21904076635837555
